"First Name","Voornaam"
"Prefix","Aanhef"
"Middle Name/Initial","Initiaal"
"Last Name","Familienaam"
"Company","Bedrijf"
"Street Address","Straat en huisnummer"
"Country","Land"
"Zip/Postal Code","Postcode"
"Telephone","Telefoon"
"Fax","Fax"
"VAT number","Btw nummer"
"City","Stad"
"Suffix","Achtervoegsel"
"Customer Group","Klant groep"
"Customer ID","Klant nummer"
"Add New Product(s)","Voeg produkt(en) toe"
"Delete","Verwijder"
"%s / %s rate:","%s / %s tarief:"
"%s has been changed from \&quot;%s\&quot; to \&quot;%s\&quot;","%s werd aangepast van \&quot;%s\&quot; naar \&quot;%s\&quot;"
"%s item(s) of \&quot;%s\&quot; have been added to the order","%s item(s) van \&quot;%s\&quot; werden toegevoegd aan de bestelling"
"%s item(s) of \&quot;%s\&quot; have been removed from the order","%s item(s) van \&quot;%s\&quot; werden verwijderd van de bestelling"
"Add Order Comments","Voeg opmerking toe"
"Admin Only","Enkel Admin"
"Admin Order Editor","Admin Bestelling Editor"
Apply,"Pas toe"
B,B
"Based on the VAT ID, the customer would belong to the Customer Group %s.","Op basis van het BTW nr behoort de klant to klanten groep %s."
Billing,Facturatie
"Cancel","Annuleer"
"Cannot add order history.","Kan bestel historiek niet toevoegen."
Change,Wijzig
"Click to change shipping method","Klik om de verzendwijze aan te passen"
Comment,Opmerking
Configure,Configureer
"Coupon Code","Coupon Code"
"Created by","Aangemaakt door"
"Customer Group","Customer Group"
"Customer Name","Klant Naam"
"Customer and Admin","Klant en Admin"
Disable,Deactiveer
Discount,Koring
"Discount (%s)","Korting (%s)"
"Discount for \&quot;%s\&quot; have been applied","Korint voor \&quot;%s\&quot; werd toegepast"
"Discount of \&quot;%s\&quot; have been removed","Koring van \&quot;%s\&quot; werd verwijderd"
"Edit Orders","Bewerk Bestellingen"
Email,Email
Enable,Activeer
Edit,Bewerk
"Enable Shipping Price Editing","Activeer wijzigen van Verzendkosten"
"Excl. Tax","Excl. Btw"
"File does not exist","Bestand bestaat niet"
"Incl. Tax","Incl. Btw"
KB,KB
"Link to the New Order","Link naar nieuwe bestelling"
"Link to the Previous Order","Link naar vorige bestelling"
MB,MB
"MageWorx > Order Management","BrainWorx > Order Management"
"New Totals","Nieuw Totaal"
No,Nee
"No Payment Methods","Geen betaalwijze"
"Note: order's initial Grand Total value to be captured unless credit card info is re-submitted","Nota: initieel totaal van bestelling moet captured worden tenzij kredietkaart gegevens opnieuwe opgegeven worden"
"Notify Customer by Email","Verwittig klant per mail"
"Order Date","Bestel datum"
"Order Date (%s)","Bestel datum (%s)"
"Order Edit","Bewerk Bestelling"
"Order Edit for Guest","Bewerk bestelling voor gast"
"Order Management","Bestelling manager"
"Order Status","Bestel Status"
"Placed from IP","Geplaatst van IP"
"Please set resource file and link type","Gelieve het bronbestand aan te geven en het type te koppelen"
Price,Prijs
"Price of \&quot;%s\&quot; have been changed from %s to %s","Prijs van \&quot;%s\&quot; werd gewijzigd van %s naar %s"
"Purchased From","Gekocht van"
"Remove Coupon Code') ?&gt;&quot;&gt;&lt;?php echo Mage::helper('sales","Verwijder Coupon Code') ?&gt;&quot;&gt;&lt;?php echo Mage::helper('sales"
"Requested file not available now","Gevraagd bestand momenteel niet beschikbaar"
"Send Update Email","Verzend aanpassings Email"
Shipping,Verzending
"Shipping method selection is not applicable","Selectie verzendwijze niet van toepassing"
"Show Thumbnails","Toon Thumbnails"
"Sorry, no quotes are available for this order at this time.","Sorrie, op dit ogenblik zijn er geen quotes beschikbaar voor deze bestelling."
"Sorry, there was an error getting the file","Sorrie, fout bij ophalen bestand"
Status,Status
Submit,Verstuur
"Submit Comment","Verstuur opmerking"
"The VAT ID entered (%s) is not a valid VAT ID. The customer would belong to Customer Group %s.","Het ingevoerde Btw nr (%s) is ongeldig. De klant zou bij klantgroep %s  horen."
"The VAT ID is valid. The current Customer Group will be used.","Het Btw nr is geldig. De klant behoort tot de huidige groep."
"The customer is currently assigned to Customer Group %s.","Deze klant behoort momenteel bij klantgroep %s."
"The modified email can be sent to both an admin and a customer, admin only, or neither of the two.","De gewijzigd email kan zowel naar een admin en de klant of 1 van beide of geen van beiden verzonen worden."
"The order changes have been canceled","De wijzigen aan de bestelling werden geannuleerd"
"The order changes have been saved","Je wijzigingen aan de bestelling werden bewaard"
"The order has pending changes. Are you sure you want to skip them?","Deze bestelling heeft niet bewaarde wijzigingen. Bent u zeker dat u deze wil negeren?"
"There was an error validating the VAT ID.","Er was een fout tijdens de validatie van het Btw nr."
"There was an error validating the VAT ID. The customer would belong to Customer Group %s.","Er was een fout tijdnes de validatie van het Btw nr. De klant zou bij klantgroep %s horen."
"This product does not have any configurable options","Dit product heeft geen configureerbare opties"
"Thumbnail Height","Thumbnail Hoogte"
Total,Totaal
"Total incl. tax","Totaal incl. Btw"
Type,Type
"Validate VAT Number","Controleer Btw nr"
"Visible on Frontend","Zichtbaar op Frontend"
"Would you like to change the Customer Group for this order?","Wenst u de klantgroep voor deze bestelling wijzigen?"
Yes,Ja
"\&quot;%s\&quot; has been added to the order (Qty: %s)","\&quot;%s\&quot; werd toegevoegd aan deze bestelling (Hvh: %s)"
"\&quot;%s\&quot; has been removed from the order","\&quot;%s\&quot; werd verwijderd van deze bestelling"
enabled_menu_orders,enabled_menu_orders
"Hide edit button","Verberg wijzig knoppen"
"Display All Order Statuses in the Comments","Toon alle bestel statussen in de opmerkingen"
"If enabled, all available order statuses will be shown in the status drop-down in the order comments.","Indien actief zullen alle beschikbare bestelstussen getoond worden in de drop-down lijst bij bestel opmerkingen."